student_id,year,past_ta,past_gr
S001,1,0,4
S002,1,0,4
S003,1,0,4
S004,1,0,4
S005,1,0,4
S006,1,0,4
S007,1,0,4
S008,1,0,4
S009,1,0,4
S010,1,0,4
S011,1,0,4
S012,1,0,4
S013,1,0,4
S014,1,0,4
S015,1,0,4
S016,4,0,4
S017,4,1,3
S018,4,1,3
S019,4,1,3
S020,4,1,3
S021,4,1,3
S022,4,2,2
S023,4,1,3
S024,4,1,3
S025,4,1,3
S026,3,1,3
S027,3,1,3
S028,3,3,1
S029,3,3,1
S030,3,2,2
S031,3,2,2
S032,3,2,2
S033,3,2,2
S034,3,3,1
S035,3,1,3
S036,3,1,3
S037,2,3,1
S038,2,2,2
S039,2,3,1
S040,2,0,4
S041,2,0,4
S042,2,0,4
S043,2,0,4
S044,2,0,4
S045,2,0,4
S046,2,0,4
S047,2,0,4
S048,2,0,4
