student_id,manual_ta,manual_gr,manual_e
S001,0,4,0
S002,0,4,0
S003,0,4,0
S004,0,4,0
S005,0,3,1
S006,0,4,0
S007,0,4,0
S008,0,4,0
S009,0,4,0
S010,0,4,0
S011,0,3,1
S012,2,1,1
S013,3,0,1
S014,1,2,1
S015,1,2,1
S016,1,1,2
S017,1,2,1
S018,1,1,2
S019,2,1,1
S020,1,2,1
S021,2,0,2
S022,1,2,1
S023,1,2,1
S024,1,3,0
S025,2,1,1
S026,1,2,1
S027,1,2,1
S028,1,2,1
S029,2,2,0
S030,1,2,1
S031,1,2,1
S032,3,0,1
S033,3,0,1
S034,2,2,0
S035,2,1,1
S036,2,2,0
S037,2,1,1
S038,3,0,1
S039,1,2,1
S040,1,3,0
S041,3,0,1
S042,2,2,0
S043,3,0,1
