"Name","course","role","work_units"
"S001","C11","t",1
"S001","C01","g",3
"S002","C08","t",1
"S002","C01","g",2
"S002","C03","g",1
"S003","C11","t",1
"S003","C02","g",2
"S003","C01","e",1
"S004","C11","t",1
"S004","C02","g",2
"S004","C01","e",1
"S005","C08","t",1
"S005","C03","g",2
"S005","C01","e",1
"S006","C08","t",1
"S006","C04","g",2
"S006","C02","e",1
"S007","C08","t",1
"S007","C05","g",3
"S008","C08","t",1
"S008","C06","g",2
"S008","C02","e",1
"S009","C08","t",1
"S009","C07","g",2
"S009","C09","g",1
"S010","C09","t",1
"S010","C07","g",3
"S011","C10","t",1
"S011","C09","g",2
"S011","C04","e",1
"S012","C09","t",2
"S012","C19","g",1
"S012","C04","e",1
"S013","C09","g",1
"S013","C16","g",2
"S013","C05","e",1
"S014","C17","g",3
"S014","C18","e",1
"S015","C08","t",2
"S015","C19","g",1
"S015","C05","e",1
"S016","C08","t",1
"S016","C17","g",2
"S016","C06","e",1
"S017","C09","t",2
"S017","C09","g",1
"S017","C06","e",1
"S018","C16","g",3
"S018","C07","e",1
"S019","C10","t",2
"S019","C09","g",1
"S019","C07","e",1
"S020","C11","t",1
"S020","C09","g",2
"S020","C03","e",1
"S021","C10","t",3
"S021","C09","e",1
"S022","C11","t",2
"S022","C15","g",1
"S022","C09","e",1
"S023","C10","t",1
"S023","C01","g",2
"S023","C09","e",1
"S024","C10","t",1
"S024","C16","g",2
"S024","C17","e",1
"S025","C07","t",1
"S025","C01","g",1
"S025","C02","g",1
"S025","C03","e",1
"S026","C10","t",1
"S026","C05","g",1
"S026","C13","g",1
"S026","C19","e",1
"S027","C09","t",1
"S027","C02","g",1
"S027","C04","g",1
"S027","C19","e",1
"S028","C10","t",1
"S028","C19","g",2
"S028","C19","e",1
"S029","C11","t",2
"S029","C12","g",1
"S029","C12","e",1
"S030","C13","g",2
"S030","C14","g",1
"S030","C12","e",1
"S031","C14","g",2
"S031","C15","g",1
"S031","C13","e",1
"S032","C10","t",2
"S032","C16","g",1
"S032","C13","e",1
"S033","C08","t",3
"S033","C14","e",1
"S034","C10","t",1
"S034","C16","g",2
"S034","C14","e",1
"S035","C08","t",2
"S035","C12","g",1
"S035","C15","e",1
"S036","C11","t",1
"S036","C17","g",2
"S036","C15","e",1
"S037","C11","t",1
"S037","C17","g",2
"S037","C16","e",1
"S038","C10","t",2
"S038","C17","g",1
"S038","C16","e",1
"S039","C18","g",3
"S039","C16","e",1
"S040","C10","t",1
"S040","C18","g",1
"S040","C19","g",1
"S040","C17","e",1
"S041","C07","t",1
"S041","C10","t",1
"S041","C19","g",1
"S041","C17","e",1
"S042","C09","t",2
"S042","C19","g",1
"S042","C02","e",1
"S043","C09","t",3
"S043","C18","e",1
